12:15:20:792 [main] DEBUG org.apache.ibatis.transaction.jdbc.JdbcTransaction - Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@5a2f016d]
12:15:20:794 [main] DEBUG org.apache.ibatis.datasource.pooled.PooledDataSource - Returned connection 1513029997 to pool.
12:15:20:794 [main] INFO  main.Main - --- JACKSON ---
12:15:21:137 [main] INFO  jaxb.CarJAXB - Car info
12:15:21:137 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
12:15:21:137 [main] INFO  jaxb.CarJAXB - Make: BMW
12:15:21:137 [main] INFO  jaxb.CarJAXB - Model: X3
12:15:21:137 [main] INFO  jaxb.CarJAXB - Body type: SUV
12:15:21:138 [main] INFO  jaxb.CarJAXB - Production year: 2018
12:15:21:138 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
12:15:21:139 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
12:15:21:139 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
12:15:21:144 [main] INFO  jaxb.CarJAXB - Car info
12:15:21:145 [main] INFO  jaxb.CarJAXB - Vin: null
12:15:21:146 [main] INFO  jaxb.CarJAXB - Make: null
12:15:21:146 [main] INFO  jaxb.CarJAXB - Model: null
