12:54:06:232 [main] INFO  main.Main - [Cashier [idCashier=1, idEmployees=2], Cashier [idCashier=2, idEmployees=7]]
12:54:06:593 [main] INFO  jaxb.CarJAXB - Car info
12:54:06:593 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
12:54:06:593 [main] INFO  jaxb.CarJAXB - Make: BMW
12:54:06:594 [main] INFO  jaxb.CarJAXB - Model: X3
12:54:06:594 [main] INFO  jaxb.CarJAXB - Body type: SUV
12:54:06:595 [main] INFO  jaxb.CarJAXB - Production year: 2018
12:54:06:595 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
12:54:06:595 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
12:54:06:595 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
12:54:06:601 [main] INFO  jaxb.CarJAXB - Car info
12:54:06:601 [main] INFO  jaxb.CarJAXB - Vin: null
12:54:06:602 [main] INFO  jaxb.CarJAXB - Make: null
12:54:06:603 [main] INFO  jaxb.CarJAXB - Model: null
12:54:06:603 [main] INFO  jaxb.CarJAXB - Body type: null
12:54:06:605 [main] INFO  jaxb.CarJAXB - Production year: 0
12:54:06:606 [main] INFO  jaxb.CarJAXB - Engine capacity: null
