12:54:32:374 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
12:54:32:377 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
12:54:32:377 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
12:54:32:377 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
12:54:32:377 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
12:54:32:388 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
12:54:32:388 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
12:54:32:388 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
12:54:32:388 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
12:54:32:396 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
12:54:32:397 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
12:54:32:397 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
12:54:32:398 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
12:54:40:449 [main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.log4j2.Log4j2Impl' adapter.
