15:22:20:971 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
15:22:20:974 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
15:22:20:974 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
15:22:20:984 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
15:22:20:985 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
15:22:20:985 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
15:22:20:986 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
15:22:20:993 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
15:22:20:994 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
15:22:20:994 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
15:22:20:994 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
15:22:39:486 [main] INFO  jaxb.CarJAXB - Car info
15:22:39:489 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
15:22:39:489 [main] INFO  jaxb.CarJAXB - Make: BMW
15:22:39:489 [main] INFO  jaxb.CarJAXB - Model: X3
15:22:39:490 [main] INFO  jaxb.CarJAXB - Body type: SUV
