15:38:39:681 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
15:38:39:683 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
15:38:39:683 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
15:39:47:736 [main] INFO  jaxb.CarJAXB - Car info
15:39:47:738 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
15:39:47:738 [main] INFO  jaxb.CarJAXB - Make: BMW
15:39:47:739 [main] INFO  jaxb.CarJAXB - Model: X3
15:39:47:739 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:39:47:740 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:39:47:740 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:39:47:740 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:39:47:740 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:39:47:745 [main] INFO  jaxb.CarJAXB - Car info
15:39:47:745 [main] INFO  jaxb.CarJAXB - Vin: null
15:39:47:746 [main] INFO  jaxb.CarJAXB - Make: null
15:39:47:746 [main] INFO  jaxb.CarJAXB - Model: null
15:39:47:746 [main] INFO  jaxb.CarJAXB - Body type: null
