15:43:54:555 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
15:43:54:558 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
15:43:54:558 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
15:43:54:559 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
15:44:09:102 [main] INFO  jaxb.CarJAXB - Car info
15:44:09:105 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
15:44:09:106 [main] INFO  jaxb.CarJAXB - Make: BMW
15:44:09:106 [main] INFO  jaxb.CarJAXB - Model: X3
15:44:09:106 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:44:09:107 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:44:09:107 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:44:09:107 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:44:09:107 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:44:09:114 [main] INFO  jaxb.CarJAXB - Car info
15:44:09:114 [main] INFO  jaxb.CarJAXB - Vin: null
15:44:09:115 [main] INFO  jaxb.CarJAXB - Make: null
15:44:09:115 [main] INFO  jaxb.CarJAXB - Model: null
