16:00:17:722 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
16:00:17:725 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
16:00:17:734 [main] INFO  jaxb.CarServiceAJAXB - Car Service B info:
16:00:17:734 [main] INFO  jaxb.CarServiceAJAXB - Car service B ID: 1
16:00:17:735 [main] INFO  jaxb.CarServiceAJAXB - Car ID: 2
16:00:17:735 [main] INFO  jaxb.CarServiceAJAXB - Service type: Gearbox Replacement
16:00:17:745 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
16:00:17:745 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
16:00:17:745 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
16:00:17:745 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
16:00:17:753 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician information:
16:00:17:753 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician ID: 1
16:00:17:753 [main] INFO  jaxb.AutomotiveElectricianJAXB - Car Service B ID: 1
16:00:17:753 [main] INFO  jaxb.AutomotiveElectricianJAXB - Employee ID: 3
