18:06:26:967 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
18:06:26:970 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
18:06:26:970 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
18:06:26:977 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
18:06:26:977 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
18:06:26:978 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
18:06:26:978 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
18:06:26:986 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
18:06:26:986 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
18:06:26:986 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
18:06:26:986 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
18:06:26:987 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
18:06:26:998 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
18:06:26:998 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
18:06:26:998 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
