18:13:48:533 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
18:13:48:551 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
18:13:48:565 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
18:13:48:565 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
18:13:48:565 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
18:13:48:565 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
18:13:48:565 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
18:13:48:565 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
18:13:48:566 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
18:13:48:566 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
18:13:48:574 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
18:13:48:574 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
18:13:48:574 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
18:13:48:575 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
