18:15:51:703 [main] INFO  jaxb.CarJAXB - Car info
18:15:51:705 [main] INFO  jaxb.CarJAXB - Vin: null
18:15:51:705 [main] INFO  jaxb.CarJAXB - Make: null
18:15:51:705 [main] INFO  jaxb.CarJAXB - Model: null
18:15:51:705 [main] INFO  jaxb.CarJAXB - Body type: null
18:15:51:706 [main] INFO  jaxb.CarJAXB - Production year: 0
18:15:51:706 [main] INFO  jaxb.CarJAXB - Engine capacity: null
18:15:51:706 [main] INFO  jaxb.CarJAXB - Fuel type: null
18:15:51:706 [main] INFO  jaxb.CarJAXB - Exterior color: null
18:15:51:719 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
18:15:51:719 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
18:15:51:719 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
18:15:51:720 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
18:15:51:735 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
18:15:51:747 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
